time,bug_type,exception,message,file,line,classification,stack_hash,input
17.93526291847229,syntactic,netaddr.core.AddrFormatError,invalid IPNetwork 172.128.0.8 0.0.0.0,netaddr/ip/__init__.py,1045,EXPECTED_REJECT (syntactic),8eb89d2a79f5,172.128.0.8 0.0.0.0
19.64563512802124,bonus,ValueError,IPAddress() does not support netmasks or subnet prefixes! See documentation for details.,netaddr/ip/__init__.py,313,VALIDITY_BUG (bonus),49b7bcc3a224,124.208.95.55//32.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.255.25
23.12491011619568,syntactic,netaddr.core.AddrFormatError,failed to detect a valid IP address from '250.10.1\\t0.1',netaddr/ip/__init__.py,341,EXPECTED_REJECT (syntactic),ac805313da44,250.10.1	0.1-5
30.077101945877075,bonus,AttributeError,'IPRange' object has no attribute 'cidr',buggy_cidrize/cidrize_stv.py,492,VALIDITY_BUG (bonus),1086defb38de,104.193.40.254-254
63.825186014175415,functional,buggy_cidrize.cidrize_stv.FunctionalBug,1-indexing used instead of 0-indexing.,buggy_cidrize/cidrize_stv.py,240,VALIDITY_BUG (functional),32e5b7c39cdf,250.1.2.10[0-9]
70.86643505096436,bonus,ValueError,too many values to unpack (expected 2),buggy_cidrize/cidrize_stv.py,225,VALIDITY_BUG (bonus),bfa6c8104ebf,192.168.1.[0-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-9
123.49038624763489,invalidity,DifferentialMismatch,"Target accepted invalid input. Out=, Ref='' does not appear to be an IPv4 or IPv6 address",differential_test,0,DIFF(invalidity),,-2.250.172.00-32.50.255
141.5031819343567,invalidity,buggy_cidrize.cidrize_stv.InvalidCidrFormatError,More than permitted number of '-',buggy_cidrize/cidrize_stv.py,254,VALIDITY_BUG (invalidity),24b96ebbcf9f,30.225.78.0--2
200.44202208518982,validity,buggy_cidrize.cidrize_stv.ValidityBug,Could not parse valid hostnames with TLD size < 3 and > 4.,buggy_cidrize/cidrize_stv.py,480,EXPECTED_REJECT (validity),e58875b0200d,192.0.two.1
274.8127291202545,functional,buggy_cidrize.cidrize_stv.FunctionalBug,Unhandled case where bracket number is two digits.,buggy_cidrize/cidrize_stv.py,232,VALIDITY_BUG (functional),32344ba62c1a,127.254.127.[89]
341.8459930419922,syntactic,netaddr.core.AddrFormatError,base address '60.220.1.256' is not IPv4,netaddr/ip/__init__.py,348,VALIDITY_BUG (syntactic),105a3fdb5bc8,60.220.1.255-256
422.42938208580017,bonus,UnboundLocalError,cannot access local variable 'first' where it is not associated with a value,buggy_cidrize/cidrize_stv.py,242,VALIDITY_BUG (bonus),ad77db98676b,0.192.100.[0]
548.0718350410461,performance,buggy_cidrize.cidrize_stv.PerformanceBug,Unhandled while True loop.,buggy_cidrize/cidrize_stv.py,421,VALIDITY_BUG (performance),8d549dc46c79,0.0.0.0/0
556.8976821899414,syntactic,netaddr.core.AddrFormatError,lower bound IP greater than upper bound!,netaddr/ip/__init__.py,1479,EXPECTED_REJECT (syntactic),daf4862dc3ef,100.250.255.254-20
676.3901391029358,bonus,buggy_cidrize.cidrize_stv.CidrizeError,Cannot parse hostnames!,buggy_cidrize/cidrize_stv.py,411,EXPECTED_REJECT (bonus),82e577b9cdc8,abc.def.ghi.jkl
1593.226832151413,bonus,IndexError,list index out of range,buggy_cidrize/cidrize_stv.py,239,EXPECTED_REJECT (bonus),a5d6d6ad510d,1 28.254.192.[000]
2046.0015258789062,reliability,buggy_cidrize.cidrize_stv.ReliabilityBug,Unhandled whitespace in IP string which is passed.,buggy_cidrize/cidrize_stv.py,302,EXPECTED_REJECT (reliability),6581c0328939," N06`,CX^e255.-1.255.0"
3205.8099200725555,invalidity,buggy_cidrize.cidrize_stv.InvalidCidrFormatError,There are too many /,buggy_cidrize/cidrize_stv.py,444,EXPECTED_REJECT (invalidity),36022571f40d,1.128.3.4/9999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
